SpreadName,LongInstrument,ShortInstrument,macd_fast,macd_slow,monitor
NIFTY-24APR2025-22000-22100-CALL,NSE:NIFTY25APR22000CE,NSE:NIFTY25APR22100CE,70,72,TRUE
NIFTY-24APR2025-22200-22300-CALL,NSE:NIFTY25APR22200CE,NSE:NIFTY25APR22300CE,70,72,TRUE
NIFTY-24APR2025-22400-22500-CALL,NSE:NIFTY25APR22400CE,NSE:NIFTY25APR22500CE,70,72,TRUE
NIFTY-24APR2025-22600-22700-CALL,NSE:NIFTY25APR22600CE,NSE:NIFTY25APR22700CE,70,72,TRUE
NIFTY-24APR2025-22800-22900-CALL,NSE:NIFTY25APR22800CE,NSE:NIFTY25APR22900CE,70,72,TRUE
NIFTY-24APR2025-23000-23100-CALL,NSE:NIFTY25APR23000CE,NSE:NIFTY25APR23100CE,70,72,TRUE
NIFTY-24APR2025-23200-23300-CALL,NSE:NIFTY25APR23200CE,NSE:NIFTY25APR23300CE,70,72,TRUE
NIFTY-24APR2025-23400-23500-CALL,NSE:NIFTY25APR23400CE,NSE:NIFTY25APR23500CE,70,72,TRUE
NIFTY-24APR2025-23600-23700-CALL,NSE:NIFTY25APR23600CE,NSE:NIFTY25APR23700CE,70,72,TRUE
NIFTY-24APR2025-23800-23900-CALL,NSE:NIFTY25APR23800CE,NSE:NIFTY25APR23900CE,70,72,TRUE
NIFTY-24APR2025-24000-24100-CALL,NSE:NIFTY25APR24000CE,NSE:NIFTY25APR24100CE,70,72,TRUE
NIFTY-24APR2025-24200-24300-CALL,NSE:NIFTY25APR24200CE,NSE:NIFTY25APR24300CE,70,72,TRUE
NIFTY-24APR2025-24400-24500-CALL,NSE:NIFTY25APR24400CE,NSE:NIFTY25APR24500CE,70,72,TRUE
NIFTY-24APR2025-24600-24700-CALL,NSE:NIFTY25APR24600CE,NSE:NIFTY25APR24700CE,70,72,TRUE
NIFTY-24APR2025-24800-24900-CALL,NSE:NIFTY25APR24800CE,NSE:NIFTY25APR24900CE,70,72,TRUE
NIFTY-24APR2025-22100-22000-PUT,NSE:NIFTY25APR22100PE,NSE:NIFTY25APR22000PE,70,72,TRUE
NIFTY-24APR2025-22300-22200-PUT,NSE:NIFTY25APR22300PE,NSE:NIFTY25APR22200PE,70,72,TRUE
NIFTY-24APR2025-22500-22400-PUT,NSE:NIFTY25APR22500PE,NSE:NIFTY25APR22400PE,70,72,TRUE
NIFTY-24APR2025-22700-22600-PUT,NSE:NIFTY25APR22700PE,NSE:NIFTY25APR22600PE,70,72,TRUE
NIFTY-24APR2025-22900-22800-PUT,NSE:NIFTY25APR22900PE,NSE:NIFTY25APR22800PE,70,72,TRUE
NIFTY-24APR2025-23100-23000-PUT,NSE:NIFTY25APR23100PE,NSE:NIFTY25APR23000PE,70,72,TRUE
NIFTY-24APR2025-23300-23200-PUT,NSE:NIFTY25APR23300PE,NSE:NIFTY25APR23200PE,70,72,TRUE
NIFTY-24APR2025-23500-23400-PUT,NSE:NIFTY25APR23500PE,NSE:NIFTY25APR23400PE,70,72,TRUE
NIFTY-24APR2025-23700-23600-PUT,NSE:NIFTY25APR23700PE,NSE:NIFTY25APR23600PE,70,72,TRUE
NIFTY-24APR2025-23900-23800-PUT,NSE:NIFTY25APR23900PE,NSE:NIFTY25APR23800PE,70,72,TRUE
NIFTY-24APR2025-24100-24000-PUT,NSE:NIFTY25APR24100PE,NSE:NIFTY25APR24000PE,70,72,TRUE
NIFTY-24APR2025-24300-24200-PUT,NSE:NIFTY25APR24300PE,NSE:NIFTY25APR24200PE,70,72,TRUE
NIFTY-24APR2025-24500-24400-PUT,NSE:NIFTY25APR24500PE,NSE:NIFTY25APR24400PE,70,72,TRUE
NIFTY-24APR2025-24700-24600-PUT,NSE:NIFTY25APR24700PE,NSE:NIFTY25APR24600PE,70,72,TRUE
NIFTY-24APR2025-24900-24800-PUT,NSE:NIFTY25APR24900PE,NSE:NIFTY25APR24800PE,70,72,TRUE
